,'Bewoelkung','Temperatur','Windgeschwindigkeit','Oberflaechendruck','o3','no2','O3_Klasse'
0,0.13131700000000002,292.451,2.3604817509110294,98932.3,44.0,55.0,Zielwert_Gruen
1,0.11021500000000001,300.01800000000003,2.1382713114083924,98734.0,92.1,35.099999999999994,Zielwert_Rot
2,0.001000000000999977,300.748,1.4122404147866845,98971.8,80.05,31.05,Zielwert_Gelb
3,0.00305176,290.944,2.096719789695323,99002.2,32.0,32.0,Zielwert_Gruen
4,0.993134,293.194,0.8808140789548042,98387.8,72.0,33.0,Zielwert_Gruen
5,0.35888000000000003,297.889,1.566624899520048,98731.8,99.05,23.05,Zielwert_Gelb
6,0.389428,302.29900000000004,1.6352533177012705,98697.8,77.05,34.05,Zielwert_Gelb
7,0.345123,292.14,1.089722821275667,98516.7,23.0,38.0,Zielwert_Gruen
8,0.983941,293.815,1.6213610792468367,98343.59999999999,32.05,42.05,Zielwert_Gelb
9,0.994591,300.425,2.608711184060168,98247.8,95.05,36.05,Zielwert_Gelb
10,0.160821,303.053,2.147702236522844,98308.3,89.05,38.05,Zielwert_Gelb
11,0.996704,293.233,2.019704307349222,98382.6,23.0,49.0,Zielwert_Gruen
12,0.0184021,293.301,2.215568416667831,98470.6,55.0,45.0,Zielwert_Gruen
13,0.30703,300.026,2.2650463101414533,98264.8,145.05,26.05,Zielwert_Gelb
14,0.382226,302.8420000000001,1.7438127765277087,98439.3,77.05,39.05,Zielwert_Gelb
15,0.364807,292.611,1.5679015520484698,98457.7,22.0,45.0,Zielwert_Gruen
16,0.0561523,293.334,1.5536780802032315,98651.7,19.0,64.0,Zielwert_Gruen
17,0.308549,300.84700000000004,2.0016692262772957,98408.59999999999,130.10000000000002,24.1,Informationsschwelle_Gelb
18,0.318139,302.85900000000004,1.3473938632119116,98555.4,71.05,37.05,Zielwert_Gelb
19,0.193817,292.279,0.2585535081564356,98642.9,31.0,39.0,Zielwert_Gruen
20,0.100586,292.457,1.6765947433115733,98646.8,41.0,61.0,Zielwert_Gruen
21,0.07198389999999999,300.564,0.8020647322835518,98584.2,144.05,23.05,Informationsschwelle_Gruen
22,0.514519,301.619,0.2056950562868951,98644.3,94.05,13.05,Zielwert_Gelb
23,0.08178710000000003,291.466,1.5696316346840746,98661.4,37.0,27.0,Zielwert_Gruen
24,9.99977e-13,289.202,2.674561060855408,98997.6,56.0,37.0,Zielwert_Gruen
25,0.002000000000999971,300.005,2.317274761042559,98635.5,112.1,20.1,Informationsschwelle_Gelb
26,0.011345500000000001,300.38,2.924957061761183,98812.09999999999,98.05,19.05,Zielwert_Gelb
27,0.00863647,288.475,3.9314502714647177,98942.9,28.0,38.0,Zielwert_Gruen
28,0.001000000000999977,286.832,1.9795756309873267,99313.4,37.05,65.05,Zielwert_Gelb
29,0.002000000000999978,298.47200000000004,2.518183610125064,98993.4,121.1,15.100000000000001,Zielwert_Rot
30,0.001000000000999977,299.218,2.9207986743429313,99227.09999999999,79.05,29.05,Zielwert_Gelb
31,9.99977e-13,287.043,2.512554579427082,99333.4,21.0,42.0,Zielwert_Gruen
32,0.401825,286.337,2.7320601560844158,99386.9,32.0,60.0,Zielwert_Gruen
33,0.001000000000999978,296.111,2.334921570611337,99185.09999999999,113.05,23.05,Informationsschwelle_Gruen
34,0.001000000000999977,297.096,2.3393577815658078,99308.59999999999,56.05,34.05,Zielwert_Gelb
35,9.99977e-13,286.0370000000001,3.4884747362851862,99387.4,14.0,43.0,Zielwert_Gruen
36,0.210358,286.307,1.9719351548742672,99447.1,37.0,52.0,Zielwert_Gruen
37,0.933702,294.007,2.42212957082243,99359.2,94.1,22.1,Zielwert_Rot
38,0.03984890000000001,294.86,1.2239277750650364,99533.4,27.05,44.05,Zielwert_Gelb
39,0.07098389999999999,285.067,0.6647079527627152,99604.4,3.0,34.0,Zielwert_Gruen
40,0.963196,288.305,1.9114322429267532,98831.3,16.0,42.0,Zielwert_Gruen
41,1.001,290.745,1.611092090292459,99243.3,55.05,27.05,Zielwert_Gelb
42,1.0,292.695,1.7221179569242635,99062.1,19.0,44.0,Zielwert_Gruen
43,0.934875,286.65,2.06987007800224,98920.6,18.0,33.0,Zielwert_Gruen
44,0.914154,291.06,1.5358032546403853,98168.1,39.0,27.0,Zielwert_Gruen
45,0.151123,295.031,1.6690756690156383,98587.2,74.0,24.0,Zielwert_Gruen
46,0.191925,295.795,3.231805368353886,98564.6,50.0,20.0,Zielwert_Gruen
47,0.508362,289.406,2.379742596368145,98393.1,9.0,27.0,Zielwert_Gruen
48,0.910278,289.563,2.0902597183768807,97801.2,26.0,18.0,Zielwert_Gruen
49,0.854241,295.723,4.874268207116548,97761.2,49.05,15.05,Zielwert_Gelb
50,0.352509,300.782,7.9960312508894065,97565.5,34.0,19.0,Zielwert_Gruen
51,0.421692,290.6140000000001,3.459101486874879,97703.6,24.0,26.0,Zielwert_Gruen
52,1.0,289.562,1.9287906771656167,98159.6,21.0,40.0,Zielwert_Gruen
53,1.0,291.468,5.032084982042732,97967.7,43.0,24.0,Zielwert_Gruen
54,0.8722530000000001,293.715,7.0385809629285365,97984.4,33.0,30.0,Zielwert_Gruen
55,0.8327030000000001,290.185,4.260641323204759,98006.1,2.0,50.0,Zielwert_Gruen
56,0.311829,288.053,2.784837824942235,98563.6,6.0,57.0,Zielwert_Gruen
57,0.8269350000000001,294.718,1.5336438969004509,98263.8,67.0,25.0,Zielwert_Gruen
58,0.997192,294.42,2.895493751601097,98550.9,40.0,25.0,Zielwert_Gruen
59,0.114349,287.454,2.553899724303208,98669.6,17.0,26.0,Zielwert_Gruen
60,0.387177,288.421,3.0933940366762203,98308.8,34.0,16.0,Zielwert_Gruen
61,0.560082,291.72,5.614017450929887,98246.3,45.05,22.05,Zielwert_Gelb
62,0.6002810000000001,292.806,6.734630486092018,98069.8,22.0,37.0,Zielwert_Gruen
63,0.999725,288.211,5.156888285361629,98100.2,17.0,36.0,Zielwert_Gruen
64,0.118744,286.194,1.7430075288890752,98716.4,10.0,60.0,Zielwert_Gruen
65,0.334961,293.7990000000001,1.4862555852709185,98428.2,71.0,21.0,Zielwert_Gruen
66,0.266022,292.649,2.947047066556624,98678.9,46.0,26.0,Zielwert_Gruen
67,0.347931,285.715,2.2853671934957323,98718.9,21.0,31.0,Zielwert_Gruen
68,0.00479126,286.696,3.460902404691585,98509.0,54.0,20.0,Zielwert_Gruen
69,0.920098,291.649,2.5059772144511836,98570.3,71.05,25.05,Zielwert_Gelb
70,0.674072,292.496,4.2814163922674,98663.7,59.0,14.0,Zielwert_Gruen
71,0.752625,286.495,3.643683936677274,98608.4,21.0,26.0,Zielwert_Gruen
72,0.79599,287.178,2.2010544918972363,98506.9,22.0,29.0,Zielwert_Gruen
73,0.73095,291.368,3.728722264683552,98335.2,70.05,25.05,Zielwert_Gelb
74,1.001,293.475,2.899158058226952,98433.3,43.05,20.05,Zielwert_Gelb
75,0.0578613,287.407,1.8878355080557203,98481.8,16.0,26.0,Zielwert_Gruen
76,0.0334167,289.878,2.1450574804419578,98531.7,28.0,35.0,Zielwert_Gruen
77,0.656487,290.54900000000004,3.609915351599813,98267.8,74.05,14.05,Zielwert_Gelb
78,0.385071,297.943,3.5641182485714467,98263.1,61.0,25.0,Zielwert_Gruen
79,0.210236,289.478,2.3381087372703604,98550.4,3.0,42.0,Zielwert_Gruen
80,0.942871,293.773,3.316100478709896,97880.1,32.0,46.0,Zielwert_Gruen
81,0.106743,297.081,3.8424668760785416,98367.5,65.05,20.05,Zielwert_Gelb
82,0.749962,296.901,7.7408118847409915,98305.59999999999,51.05,14.05,Zielwert_Gelb
83,0.8269350000000001,292.19,5.381758716748641,98096.7,27.0,21.0,Zielwert_Gruen
84,0.310699,290.215,1.945455976808522,98092.9,48.0,29.0,Zielwert_Gruen
85,0.962151,298.002,2.575811511189414,97633.8,93.05,34.05,Zielwert_Gelb
86,0.951355,301.008,4.418209369959735,97782.6,34.0,44.0,Zielwert_Gruen
87,0.953918,290.886,2.7128839757166165,97962.2,9.0,42.0,Zielwert_Gruen
88,0.1185,288.601,1.7395346487670202,98017.4,10.0,60.0,Zielwert_Gruen
89,0.685082,297.579,1.5503266199939605,98037.0,75.05,29.05,Zielwert_Gelb
90,0.663666,297.13,3.9277598929287927,98110.8,48.0,22.0,Zielwert_Gruen
91,0.78183,289.375,2.033625082949166,98091.2,23.0,29.0,Zielwert_Gruen
92,0.962341,291.619,1.7635053554353046,97763.6,21.0,28.0,Zielwert_Gruen
93,0.247185,291.648,2.9668996575171143,97773.59999999999,46.05,26.05,Zielwert_Gelb
94,1.0,292.111,4.300698596693333,97751.1,44.0,14.0,Zielwert_Gruen
95,0.971832,290.561,2.3626879695169234,97642.4,14.0,30.0,Zielwert_Gruen
96,0.752167,292.942,1.1780885342472398,98001.8,31.0,22.0,Zielwert_Gruen
97,0.705688,296.369,2.026135969582496,97730.2,68.0,23.0,Zielwert_Gruen
98,1.0,297.72,3.873511331143876,98020.6,52.0,28.0,Zielwert_Gruen
99,0.685791,292.491,1.7621695020627273,98043.6,22.0,36.0,Zielwert_Gruen
100,1.0,292.686,1.9974914017587158,98149.7,62.0,17.0,Zielwert_Gruen
101,0.323723,299.622,2.1693686765717617,97901.4,105.05,20.05,Zielwert_Gelb
102,0.320618,299.4190000000001,4.680146319646427,97966.4,45.0,46.0,Zielwert_Gruen
103,0.738983,292.184,2.9753413257977654,98098.9,24.0,41.0,Zielwert_Gruen
104,0.36190100000000003,288.725,1.7358506668343745,98495.0,41.05,44.05,Zielwert_Gelb
105,0.866777,299.685,1.16578813396963,98156.9,108.1,18.1,Zielwert_Rot
106,0.378601,298.764,0.3526842283748232,98398.7,78.0,18.0,Zielwert_Gruen
107,0.116974,289.1090000000001,2.4517090304520237,98501.1,17.0,29.0,Zielwert_Gruen
108,0.34671,289.205,2.0741345362584367,98227.2,50.0,30.0,Zielwert_Gruen
109,0.30867100000000003,296.095,2.5557768399732135,98382.09999999999,91.1,9.100000000000001,Zielwert_Rot
110,0.367333,294.194,4.06601957988385,98431.7,88.05,11.05,Zielwert_Gelb
111,0.390289,288.961,2.487221602029059,98298.2,51.0,9.0,Zielwert_Gruen
112,1.0,290.095,1.7300463132092736,98391.1,35.0,28.0,Zielwert_Gruen
113,0.312035,294.9140000000001,2.8405678734602704,98183.3,64.05,35.05,Zielwert_Gelb
114,0.388299,297.458,2.3783776173420024,98258.0,75.05,18.05,Zielwert_Gelb
115,0.782928,290.124,2.6996332570703028,98318.0,19.0,35.0,Zielwert_Gruen
116,0.148315,288.353,1.838220635288376,98613.0,25.0,46.0,Zielwert_Gruen
117,0.486474,297.007,1.9573321076302563,98333.0,72.05,19.05,Zielwert_Gelb
118,0.423211,297.111,1.9152810160133507,98502.0,62.05,17.05,Zielwert_Gelb
119,0.219482,288.7920000000001,1.3617500124507764,98661.2,26.0,25.0,Zielwert_Gruen
120,0.968933,292.759,3.5669372046022905,98310.8,42.0,24.0,Zielwert_Gruen
121,0.296868,296.07800000000003,2.8714884829074405,98404.0,73.05,21.05,Zielwert_Gelb
122,0.326348,297.055,4.404774372874137,98466.0,65.05,15.05,Zielwert_Gelb
123,0.176758,291.499,4.273601068560331,98447.4,19.0,37.0,Zielwert_Gruen
124,0.254303,291.714,1.06166429249533,98000.4,56.0,28.0,Zielwert_Gruen
125,0.0553823,299.32,3.4363716403729865,98034.7,105.05,32.05,Zielwert_Gelb
126,0.236657,301.298,2.7947895027634244,98050.9,0.05,0.05,Zielwert_Gelb
127,0.037323,292.103,2.3705158046720554,98099.5,17.0,29.0,Zielwert_Gruen
128,0.998894,290.695,3.924556962132326,97766.5,57.05,27.05,Zielwert_Gelb
129,0.00813403,297.93600000000004,0.4258378860592672,97867.09999999999,103.1,18.1,Zielwert_Rot
130,0.192688,296.312,1.9241704870517584,97913.3,58.0,13.0,Zielwert_Gruen
131,0.664673,290.047,3.3577482755709966,97931.4,38.0,15.0,Zielwert_Gruen
132,0.997246,292.076,1.4581215887271788,96843.4,29.05,13.05,Zielwert_Gelb
133,0.995378,292.13500000000005,3.6175047379733263,97395.2,73.1,10.100000000000001,Zielwert_Rot
134,0.969475,294.504,2.086908674750168,97046.0,70.05,28.05,Zielwert_Gelb
135,0.996246,291.833,1.1943277438056945,96857.2,72.0,14.0,Zielwert_Gruen
136,0.906525,298.11,2.0987818761805617,97371.6,69.0,16.0,Zielwert_Gruen
137,0.889885,296.192,1.1992803559671408,96940.3,87.05,30.05,Zielwert_Gelb
138,0.737267,297.431,1.4303494893169182,97125.4,74.05,26.05,Zielwert_Gelb
139,0.81411,294.867,1.947369061265392,97259.3,87.05,19.05,Zielwert_Gelb
140,0.19909,298.684,2.322729121014792,98090.3,120.05,11.05,Zielwert_Gelb
141,0.495446,305.421,2.908638546194068,97376.59999999999,183.05,22.05,Zielwert_Gelb
142,0.6453180000000001,309.25,1.019764050567914,97717.09999999999,138.05,29.05,Zielwert_Gelb
143,0.521782,298.00600000000003,2.9895700436110335,97971.09999999999,61.05,30.05,Zielwert_Gelb
144,0.0234539,296.99600000000004,2.341567950815288,98401.79999999999,93.1,31.1,Zielwert_Rot
145,0.002000000000999874,309.026,2.0955698609253055,98072.0,139.10000000000002,22.1,Alarmschwelle_Stufe1
146,0.012657700000000001,310.063,2.9718701053873255,98298.8,123.05,30.05,Informationsschwelle_Gruen
147,0.0252615,297.678,1.9585344130943796,98465.2,40.05,37.05,Zielwert_Gelb
148,0.001000000000999977,295.5390000000001,2.302768679568072,98528.5,68.05,51.05,Zielwert_Gelb
149,0.017296399999999996,308.576,1.7026198471061886,98231.09999999999,155.05,43.05,Informationsschwelle_Gruen
150,0.0027395000000000006,308.028,1.5200624466750534,98355.0,107.05,38.05,Informationsschwelle_Gruen
151,0.0389099,296.523,2.379766473572775,98446.2,19.0,38.0,Zielwert_Gruen
152,0.001000000000999977,291.942,2.086052546861804,99044.09999999999,50.05,40.05,Zielwert_Gelb
153,0.002000000000999971,305.684,1.5668388277647753,98553.2,120.1,19.1,Informationsschwelle_Gelb
154,0.002000000000999978,304.91700000000003,2.4539370748448084,98829.2,97.1,25.1,Zielwert_Rot
155,9.99977e-13,293.903,3.2300396739786343,99010.2,18.0,44.0,Zielwert_Gruen
156,1.0,289.82,2.193190856673445,99098.8,49.0,35.0,Zielwert_Gruen
157,0.0548564,302.21000000000004,1.300830972435973,98978.5,105.1,13.100000000000001,Zielwert_Rot
158,0.779107,300.9740000000001,2.5253755087883234,99146.09999999999,82.05,26.05,Zielwert_Gelb
159,0.999786,291.216,0.6622472516462413,99163.2,20.0,39.0,Zielwert_Gruen
160,0.904663,292.937,1.9256775953949952,98405.2,62.0,23.0,Zielwert_Gruen
161,0.892381,298.79400000000004,1.9533544705289874,98914.2,77.1,10.100000000000001,Zielwert_Rot
162,0.396355,299.628,3.9759884683742164,98874.3,65.05,11.05,Zielwert_Gelb
163,0.116089,292.504,2.808878077688848,98698.4,45.0,10.0,Zielwert_Gruen
164,0.805657,290.4020000000001,2.129343100160612,98285.0,57.05,20.05,Zielwert_Gelb
165,0.994713,298.644,3.93602860457667,98019.3,104.05,24.05,Zielwert_Gelb
166,0.518303,302.84700000000004,5.946662536773692,98064.3,83.05,26.05,Zielwert_Gelb
167,0.0838623,291.692,2.662614372773496,98170.7,12.0,29.0,Zielwert_Gruen
168,1.001,291.595,2.1655926268956858,98156.4,24.05,38.05,Zielwert_Gelb
169,0.87877,297.038,1.2692878307961246,98235.59999999999,67.1,20.1,Zielwert_Rot
170,0.909569,295.81,4.459847828266303,98290.9,46.05,28.05,Zielwert_Gelb
171,0.963562,290.783,1.436350107660385,98255.1,33.0,30.0,Zielwert_Gruen
172,0.822876,287.798,2.2184460117163094,98089.8,53.0,38.0,Zielwert_Gruen
173,0.982812,297.574,1.6997043316492584,97980.2,99.05,31.05,Zielwert_Gelb
174,0.5837100000000001,299.123,3.1154224656615983,97985.6,29.0,36.0,Zielwert_Gruen
175,0.999634,288.355,0.6564376857935565,98057.9,3.0,25.0,Zielwert_Gruen
